x;H
146851.2034207685;38.77611354218454
146751.2034207685;38.940661
146540.59487986437;39.287212
146332.9600879696;38.811409
146121.42701366008;38.50958
145948.89359826868;38.518825
145746.98178410684;38.500518
145546.9462463494;38.107598
145345.62185568304;38.437562
145143.64657388564;37.897922
144952.6151722428;38.167403
144746.8102736101;37.354682
144543.12837254512;38.24242
144341.73453802007;37.551251
144140.61964252614;37.467245
143941.72687358514;36.242725
143722.99860371265;37.792855
143521.29443897944;36.851406
143305.62672217537;37.811185
143126.60263054317;37.273406
142907.17876239732;37.126489
142714.1080924385;37.454159
142509.53356684186;37.529167
142297.37886296588;37.667397
142064.34882725216;36.447249
141871.01703854956;37.522627
141651.03462331393;37.120006
141474.87376628612;37.546444
141239.78048948818;37.60091
141010.69794314378;36.951273
140827.46589177553;37.242488
140629.73374505297;36.294836
140394.3405890951;36.368349
140183.19765596176;35.280244
139978.08204139292;36.289983
139784.60331855464;35.973345
139576.7581256992;35.821418
139379.31212062674;36.01107
139179.88676043585;35.361422
138984.63654655393;35.585454
138775.10449484535;36.137282
138572.95973548203;35.483352
138367.52276013032;35.883319
138171.82930017656;35.382071
137978.69919974657;35.271874
137770.61906620307;35.680973
137569.61963837233;35.504446
137370.04222485586;35.156639
137185.29465769063;34.727036
136966.22344537513;35.337998
136762.2725911007;34.975939
136556.24070278212;34.902158
136367.2340693956;35.622891
136160.46992600794;34.873946
135952.25943436797;34.795305
135749.60249391536;35.412552
135536.25362617098;34.358509
135345.36692525263;34.45741
135145.0965847941;34.412695
134932.02721933764;34.120043
134746.52987038385;33.918264
134528.67317402706;33.81703
134330.32131821703;33.171788
134127.7838255863;34.041004
133914.14941151266;34.308515
133709.25453179402;34.20251
133501.5231843062;34.46729
133305.176320216;34.605425
133101.73372118812;34.043347
132879.85353557186;35.177708
132680.01801653704;33.924489
132460.34985014904;33.779229
132269.45578868335;33.507372
132057.03806346364;33.216072
131869.7154409631;34.078631
131643.43517339026;34.100279
131436.49266331538;33.330339
131237.0108686409;32.851836
131038.52405350031;33.591685
130830.77574921948;32.800679
130637.52292854576;33.199668
130418.77309424075;33.481737
130224.58796665094;32.615291
130009.6617429831;32.635953
129830.22079768284;33.26117
129635.69197124148;32.927764
129423.23674260988;32.572353
129204.45466942209;32.410791
129008.83815352363;32.572401
128807.000482311;32.647172
128603.08836694845;32.209237
128404.94007622766;32.937792
128193.87413972651;32.839615
127997.00759933214;32.160842
127806.11381601034;32.598528
127578.5906022788;32.424104
127356.68849070868;32.303935
127164.49282508067;32.546575
126938.30125604382;31.797395
126741.15043760449;31.545288
126553.59229675736;31.401588
126338.05309970633;30.993198
126129.17931266743;31.655685
125910.58827209551;30.909909
125714.98767390907;31.036326
125510.28841445164;31.01529
125297.67806239298;31.366451
125105.05909359544;31.828178
124910.71186376948;31.579697
124703.42761522991;31.135173
124508.81208758941;30.237831
124287.17760413053;31.508494
124054.02608148832;31.457279
123846.75991669968;31.141297
123639.54815422987;31.25995
123432.98359134648;30.870834
123255.52930931805;30.234204
123037.54239717661;30.84258
122807.11892678075;30.957841
122615.15458842299;31.1128
122410.9754129687;31.036788
122197.45996956725;30.88374
121976.89622115798;30.819433
121798.9291217456;30.436641
121596.5278580276;30.251451
121388.98523520719;30.433577
121203.73583772012;30.156894
120988.75011483325;29.931958
120785.1888662331;29.602244
120585.18128374327;30.06432
120379.13758801065;29.524274
120174.04998057007;29.486377
119968.73244771197;30.129267
119755.8838303396;29.86206
119556.89785895273;29.530562
119383.09177591436;29.856214
119138.58188897684;28.887705
118943.97413298677;28.566362
118732.17164991815;28.937821
118524.36242343344;29.236905
118343.13154856843;28.930916
118138.88132686233;29.123333
117926.28955732481;28.886076
117719.52047013622;29.439615
117525.27236964833;28.890019
117315.12226841916;29.224881
117099.19506217827;28.504969
116884.66009591258;27.607325
116710.80073918033;28.201723
116504.34795194505;28.10994
116303.44332685784;27.674329
116071.94004085244;27.696576
115888.5502837764;27.363114
115683.11580717521;29.04434
115473.0263167136;28.163075
115276.79922144147;27.744945
115088.02579826077;27.889327
114862.22617018905;27.547735
114663.27779162985;27.785555
114469.88485102697;27.582214
114271.21547324483;27.549008
114065.13969166318;27.881317
113858.02310173289;27.396338
113661.78455700561;27.588548
113453.55207004555;28.322699
113244.58622162032;27.951549
113036.34279987634;27.385368
112843.59084281555;27.379366
112637.0097516533;27.146942
112433.01089397479;26.812325
112218.8021117101;26.842543
112029.36520658643;27.079764
111815.83096858356;26.877283
111618.6137823925;26.340857
111420.24052070545;26.403906
111218.52789945513;26.343653
111016.39645511977;25.820722
110796.78825409139;26.246152
110574.16699910577;26.146803
110352.50997803695;25.762309
110165.09460011328;26.235994
109959.23860102953;25.600127
109763.88711348787;25.74333
109572.4007806061;26.268756
109374.3813730129;26.027234
109162.16780022561;25.602012
108948.58040172588;25.390138
108707.76957045095;25.558231
108529.0121452573;25.770391
108345.97819774231;26.080976
108121.15452424964;26.41853
107914.11534693517;25.746575
107706.07942727912;26.048975
107486.1866178392;25.65309
107275.81681230551;25.399147
107081.87221021026;25.516422
106882.33146477985;24.823015
106679.20508371352;25.229268
106479.1554705296;25.343886
106279.04717551592;25.389507
106084.32206029398;25.319131
105875.61561184435;25.505135
105685.71821122596;24.806922
105478.40289641307;25.040279
105271.79754966401;25.171422
105070.77769109161;25.30055
104871.74311583405;25.132361
104669.46951342393;24.887909
104462.19117275372;24.670767
104259.71196066713;25.022997
104033.7609433546;24.829327
103856.14710262034;24.842373
103652.23491973683;24.753192
103442.51982389993;24.545185
103253.19710416923;24.363721
103048.62661919431;24.10308
102850.6404363865;23.850277
102641.50091449861;24.250438
102435.04961931054;24.041201
102231.98707024113;23.881804
102036.15705677826;23.588065
101831.41876475327;23.696697
101630.36349474615;23.708709
101427.19723244454;24.048538
101214.2440560049;23.434873
101023.35654253466;22.896571
100832.67060120395;23.721453
100600.40248422307;22.937784
100400.98616850462;22.864594
100210.17856160813;22.83924
99993.39943189504;22.542079
99782.24601760654;22.922222
99568.67293619807;22.693267
99364.38092664428;22.627783
99175.37515558959;22.960663
98967.99799808217;22.386573
98774.04944408263;22.176561
98554.1686423279;22.366612
98352.26011822333;22.068908
98150.22813654332;22.194285
97952.20269836477;21.90037
97738.48882119349;22.460594
97543.83677386196;22.680321
97325.66832304087;22.181069
97123.39298213049;22.056758
96914.73693434216;22.251441
96709.75700107781;21.880433
96505.84950097278;21.87866
96306.06850171748;22.322566
96067.99539185771;22.260782
95873.08135892142;22.210394
95673.60931296455;22.15104
95469.18247144553;22.361945
95260.37688885283;22.46276
95064.37890758106;22.12236
94865.6812825292;22.025423
94655.0549311599;21.595538
94460.01990929098;21.774923
94255.1569856772;21.420535
94048.86875223566;21.492868
93847.70533865973;21.582021
93648.5901052762;21.200943
93434.41305816386;21.297686
93235.73753984402;20.747281
93031.37108478557;21.380951
92831.77024458504;21.472059
92621.37041416287;21.133796
92418.66014006491;21.154581
92220.473897699;21.143215
92023.26960264653;21.286787
91825.76164860398;20.968213
91614.3107749459;21.61308
91409.89761848672;21.174298
91214.20699707582;21.057506
91025.66522605636;21.023674
90814.88765748727;21.021518
90612.60323025243;20.851849
90417.77912713533;21.149581
90208.91249283723;20.578744
89994.5946449988;20.904393
89806.32114483335;20.550643
89603.35216570667;20.155891
89395.77346254149;20.273549
89191.71919077772;20.146469
88983.99067177714;20.367058
88767.28062879015;20.248449
88551.7373431478;19.745172
88353.34598345862;20.428105
88155.01189434007;20.094948
87939.22946483304;19.948113
87738.85300688067;20.027274
87548.18970427905;19.63058
87343.17108264081;19.014275
87135.28291242216;19.293029
86943.43699816705;19.322567
86725.8243656867;19.374666
86497.23963484165;18.991752
86301.80981060657;19.385333
86102.82880803148;19.679982
85889.29066501395;19.400023
85689.03576424363;19.052397
85498.7244022766;19.396094
85295.8020006582;19.557615
85087.0058490808;19.429378
84902.72090590364;19.303144
84685.03116537064;19.015347
84491.11614183504;19.016901
84291.6944430626;18.343971
84082.7005267562;18.672268
83880.26709421571;18.892703
83677.9146910962;19.202991
83484.41608225956;18.438744
83280.46251366951;18.42693
83061.43938466065;18.277344
82853.26311457087;17.894526
82664.94269834478;18.580701
82457.43641119366;18.223208
82242.92079972781;18.320497
82041.37979996666;18.16336
81834.97769483324;18.223077
81645.93397705234;18.522503
81444.96084409457;18.153403
81229.54409445252;18.106842
81017.53104656699;17.799624
80815.59606827261;17.795847
80618.28388994402;17.711012
80417.55062606308;18.12681
80212.04507081388;17.77463
80010.84746331735;17.847408
79815.98599083316;17.233767
79609.16402653075;17.5516
79406.80267183331;17.980816
79208.89766833498;17.636845
78995.08616888711;17.873011
78806.40632573108;17.420295
78606.19306496644;17.509992
78400.95911683384;17.660237
78195.23986610692;17.382872
77997.34131314767;17.214848
77786.60569946448;16.989123
77589.43334885598;17.157074
77369.23582229242;16.976939
77188.69644939872;16.860812
76977.99627953143;16.947316
76766.57250351268;16.96898
76561.29938219379;16.745473
76369.32629072267;17.162209
76161.33179303205;17.582114
75956.30284732589;16.892744
75770.43882367661;16.971883
75555.42049351652;16.511936
75336.16823362827;16.388062
75148.096132914;16.662276
74951.35426813428;16.962478
74756.56906431382;16.966345
74549.38540694793;16.473201
74340.92255619832;16.505442
74142.72611065881;15.739837
73939.07001159499;16.718984
73743.6979272116;16.430295
73531.35270091376;16.38568
73336.60288039665;15.913088
73134.77292550975;15.901919
72898.81362412908;15.465165
72667.87771357587;15.603732
72422.4816088658;15.876776
72204.25999746987;15.685364
71980.26093361794;15.448872
71754.85081015146;15.882831
71569.25112913165;16.168404
71361.34782786152;15.980437
71155.60781042321;15.831906
70961.04371536488;16.05179
70744.11298946192;15.65519
70543.9490777264;15.463028
70343.4869675722;15.47322
70121.15731102187;16.027809
69921.38622743772;15.548473
69735.67668573727;15.11698
69511.48359740914;15.081147
