x;H
146851.2034207685;39.001222182802294
146751.2034207685;38.93
146540.59487986437;38.78
146332.9600879696;38.62
146121.42701366008;38.44
145948.89359826868;38.25
145746.98178410684;38.13
145546.9462463494;38.01
145345.62185568304;37.9
145143.64657388564;37.77
144952.6151722428;37.67
144746.8102736101;37.56
144543.12837254512;37.46
144341.73453802007;37.4
144140.61964252614;37.36
143941.72687358514;37.34
143722.99860371265;37.33
143521.29443897944;37.32
143305.62672217537;37.3
143126.60263054317;37.28
142907.17876239732;37.26
142714.1080924385;37.22
142509.53356684186;37.14
142297.37886296588;37.13
142064.34882725216;37.12
141871.01703854956;37.08
141651.03462331393;37.05
141474.87376628612;36.97
141239.78048948818;36.57
141010.69794314378;36.37
140827.46589177553;36.33
140629.73374505297;36.17
140394.3405890951;35.99
140183.19765596176;35.92
139978.08204139292;35.87
139784.60331855464;35.8
139576.7581256992;35.74
139379.31212062674;35.73
139179.88676043585;35.67
138984.63654655393;35.61
138775.10449484535;35.54
138572.95973548203;35.47
138367.52276013032;35.41
138171.82930017656;35.39
137978.69919974657;35.32
137770.61906620307;35.06
137569.61963837233;34.97
137370.04222485586;34.87
137185.29465769063;34.68
136966.22344537513;34.68
136762.2725911007;34.67
136556.24070278212;34.67
136367.2340693956;34.65
136160.46992600794;34.63
135952.25943436797;34.6
135749.60249391536;34.57
135536.25362617098;34.53
135345.36692525263;34.33
135145.0965847941;34.15
134932.02721933764;34.07
134746.52987038385;33.98
134528.67317402706;33.92
134330.32131821703;33.89
134127.7838255863;33.86
133914.14941151266;33.83
133709.25453179402;33.81
133501.5231843062;33.79
133305.176320216;33.77
133101.73372118812;33.75
132879.85353557186;33.74
132680.01801653704;33.74
132460.34985014904;33.73
132269.45578868335;33.73
132057.03806346364;33.71
131869.7154409631;33.6
131643.43517339026;33.45
131436.49266331538;33.36
131237.0108686409;33.07
131038.52405350031;32.74
130830.77574921948;32.69
130637.52292854576;32.65
130418.77309424075;32.64
130224.58796665094;32.64
130009.6617429831;32.63
129830.22079768284;32.6
129635.69197124148;32.59
129423.23674260988;32.58
129204.45466942209;32.57
129008.83815352363;32.53
128807.000482311;32.51
128603.08836694845;32.51
128404.94007622766;32.5
128193.87413972651;32.5
127997.00759933214;32.49
127806.11381601034;32.47
127578.5906022788;32.4
127356.68849070868;32.3
127164.49282508067;32.2
126938.30125604382;32.0
126741.15043760449;31.35
126553.59229675736;31.18
126338.05309970633;31.16
126129.17931266743;31.15
125910.58827209551;31.15
125714.98767390907;31.14
125510.28841445164;31.14
125297.67806239298;31.13
125105.05909359544;31.12
124910.71186376948;31.07
124703.42761522991;31.01
124508.81208758941;30.97
124287.17760413053;30.96
124054.02608148832;30.96
123846.75991669968;30.91
123639.54815422987;30.82
123432.98359134648;30.8
123255.52930931805;30.78
123037.54239717661;30.75
122807.11892678075;30.73
122615.15458842299;30.72
122410.9754129687;30.72
122197.45996956725;30.71
121976.89622115798;30.62
121798.9291217456;30.14
121596.5278580276;29.83
121388.98523520719;29.64
121203.73583772012;29.63
120988.75011483325;29.63
120785.1888662331;29.63
120585.18128374327;29.61
120379.13758801065;29.58
120174.04998057007;29.57
119968.73244771197;29.55
119755.8838303396;29.55
119556.89785895273;29.52
119383.09177591436;29.32
119138.58188897684;28.78
118943.97413298677;28.7
118732.17164991815;28.65
118524.36242343344;28.59
118343.13154856843;28.54
118138.88132686233;28.52
117926.28955732481;28.51
117719.52047013622;28.49
117525.27236964833;28.47
117315.12226841916;28.42
117099.19506217827;28.25
116884.66009591258;28.05
116710.80073918033;27.93
116504.34795194505;27.86
116303.44332685784;27.81
116071.94004085244;27.78
115888.5502837764;27.75
115683.11580717521;27.75
115473.0263167136;27.73
115276.79922144147;27.72
115088.02579826077;27.7
114862.22617018905;27.65
114663.27779162985;27.61
114469.88485102697;27.58
114271.21547324483;27.55
114065.13969166318;27.5
113858.02310173289;27.43
113661.78455700561;27.37
113453.55207004555;27.36
113244.58622162032;27.35
113036.34279987634;27.29
112843.59084281555;27.17
112637.0097516533;27.09
112433.01089397479;27.0
112218.8021117101;26.88
112029.36520658643;26.75
111815.83096858356;26.63
111618.6137823925;26.45
111420.24052070545;26.25
111218.52789945513;26.11
111016.39645511977;26.03
110796.78825409139;26.0
110574.16699910577;25.99
110352.50997803695;25.98
110165.09460011328;25.97
109959.23860102953;25.95
109763.88711348787;25.93
109572.4007806061;25.89
109374.3813730129;25.72
109162.16780022561;25.58
108948.58040172588;25.53
108707.76957045095;25.51
108529.0121452573;25.5
108345.97819774231;25.49
