x;W
146851.2034207685;257.9588445439219
146751.2034207685;221.263356
146540.59487986437;143.979523
146332.9600879696;104.378936
146121.42701366008;129.23953
145948.89359826868;128.081981
145746.98178410684;156.832272
145546.9462463494;135.774923
145345.62185568304;142.595607
145143.64657388564;184.928845
144952.6151722428;172.353962
144746.8102736101;130.237138
144543.12837254512;127.404314
144341.73453802007;135.559491
144140.61964252614;122.384621
143941.72687358514;122.379643
143722.99860371265;88.838752
143521.29443897944;128.479154
143305.62672217537;176.166884
143126.60263054317;128.255566
142907.17876239732;175.752916
142714.1080924385;110.532162
142509.53356684186;163.199565
142297.37886296588;177.12017
142064.34882725216;146.007475
141871.01703854956;174.326412
141651.03462331393;177.575114
141474.87376628612;143.612011
141239.78048948818;144.086915
141010.69794314378;147.140549
140827.46589177553;186.283918
140629.73374505297;126.358383
140394.3405890951;128.934918
140183.19765596176;121.091631
139978.08204139292;131.450595
139784.60331855464;113.229204
139576.7581256992;125.956593
139379.31212062674;165.799435
139179.88676043585;130.759747
138984.63654655393;140.965295
138775.10449484535;118.717338
138572.95973548203;130.550697
138367.52276013032;140.758216
138171.82930017656;164.480213
137978.69919974657;131.757041
137770.61906620307;188.756484
137569.61963837233;186.680551
137370.04222485586;154.056682
137185.29465769063;160.69729
136966.22344537513;126.765551
136762.2725911007;152.521159
136556.24070278212;136.06098
136367.2340693956;135.75767
136160.46992600794;111.160106
135952.25943436797;112.717074
135749.60249391536;98.404187
135536.25362617098;96.439687
135345.36692525263;142.329293
135145.0965847941;152.699031
134932.02721933764;130.845361
134746.52987038385;143.565992
134528.67317402706;100.984797
134330.32131821703;96.350938
134127.7838255863;99.541358
133914.14941151266;97.623307
133709.25453179402;115.501057
133501.5231843062;121.694897
133305.176320216;143.863669
133101.73372118812;104.521652
132879.85353557186;95.62773
132680.01801653704;98.767122
132460.34985014904;119.955359
132269.45578868335;122.226189
132057.03806346364;126.853766
131869.7154409631;145.59643
131643.43517339026;132.954349
131436.49266331538;164.631777
131237.0108686409;131.733436
131038.52405350031;124.000072
130830.77574921948;146.218429
130637.52292854576;182.271831
130418.77309424075;126.014558
130224.58796665094;160.583114
130009.6617429831;181.344168
129830.22079768284;181.64883
129635.69197124148;141.507031
129423.23674260988;130.086598
129204.45466942209;158.428446
129008.83815352363;149.350702
128807.000482311;158.559528
128603.08836694845;116.421315
128404.94007622766;115.873548
128193.87413972651;122.036165
127997.00759933214;174.415874
127806.11381601034;209.092183
127578.5906022788;156.51219
127356.68849070868;171.049226
127164.49282508067;138.07788
126938.30125604382;197.775055
126741.15043760449;128.59462
126553.59229675736;175.966811
126338.05309970633;146.496118
126129.17931266743;113.589314
125910.58827209551;119.228644
125714.98767390907;124.70873
125510.28841445164;111.828951
125297.67806239298;123.586575
125105.05909359544;144.087772
124910.71186376948;156.01039
124703.42761522991;130.195369
124508.81208758941;119.69822
124287.17760413053;111.567026
124054.02608148832;112.00397
123846.75991669968;178.475302
123639.54815422987;138.496605
123432.98359134648;125.695673
123255.52930931805;87.209613
123037.54239717661;116.68643
122807.11892678075;130.2491
122615.15458842299;122.718996
122410.9754129687;123.214873
122197.45996956725;144.612984
121976.89622115798;160.878341
121798.9291217456;172.40024
121596.5278580276;128.81809
121388.98523520719;160.07998
121203.73583772012;122.055355
120988.75011483325;112.789364
120785.1888662331;139.278729
120585.18128374327;132.439836
120379.13758801065;122.182668
120174.04998057007;164.813177
119968.73244771197;164.737298
119755.8838303396;175.719095
119556.89785895273;214.545684
119383.09177591436;146.925437
