x;W
146851.2034207685;279.9710526168
146751.2034207685;230.473541
146540.59487986437;126.227554
146332.9600879696;97.312817
146121.42701366008;114.710463
145948.89359826868;106.122855
145746.98178410684;132.248688
145546.9462463494;127.577857
145345.62185568304;137.444574
145143.64657388564;166.999232
144952.6151722428;146.631148
144746.8102736101;115.948523
144543.12837254512;132.690924
144341.73453802007;112.899548
144140.61964252614;108.110614
143941.72687358514;103.25336
143722.99860371265;101.09089
143521.29443897944;119.42972
143305.62672217537;157.504286
143126.60263054317;140.726548
142907.17876239732;155.83691
142714.1080924385;131.583945
142509.53356684186;144.236696
142297.37886296588;166.711564
142064.34882725216;143.851066
141871.01703854956;185.025456
141651.03462331393;157.128548
141474.87376628612;132.170664
141239.78048948818;123.040141
141010.69794314378;149.379523
140827.46589177553;167.549138
140629.73374505297;94.590851
140394.3405890951;127.990539
140183.19765596176;118.076244
139978.08204139292;111.690664
139784.60331855464;111.498936
139576.7581256992;120.492249
139379.31212062674;148.531685
139179.88676043585;125.790994
138984.63654655393;114.422892
138775.10449484535;114.115997
138572.95973548203;126.496638
138367.52276013032;123.947566
138171.82930017656;163.577674
137978.69919974657;115.501583
137770.61906620307;168.395683
137569.61963837233;183.815899
137370.04222485586;152.90699
137185.29465769063;156.522795
136966.22344537513;116.425793
136762.2725911007;131.245997
136556.24070278212;142.747439
136367.2340693956;121.255
136160.46992600794;111.597777
135952.25943436797;113.367524
135749.60249391536;97.687443
135536.25362617098;89.831154
135345.36692525263;138.373529
135145.0965847941;133.737994
134932.02721933764;136.850958
134746.52987038385;134.642779
134528.67317402706;99.022339
134330.32131821703;84.079434
134127.7838255863;87.842399
133914.14941151266;89.681888
133709.25453179402;104.326997
133501.5231843062;119.301093
133305.176320216;142.154832
133101.73372118812;103.375678
132879.85353557186;81.461982
132680.01801653704;96.296874
132460.34985014904;110.791809
132269.45578868335;119.638416
132057.03806346364;117.326238
131869.7154409631;128.488027
131643.43517339026;122.808903
131436.49266331538;140.259152
131237.0108686409;121.50119
131038.52405350031;107.537763
130830.77574921948;145.564451
130637.52292854576;165.488915
130418.77309424075;122.156347
130224.58796665094;148.45661
130009.6617429831;162.319167
129830.22079768284;176.236112
129635.69197124148;131.86505
129423.23674260988;121.350107
129204.45466942209;146.339952
129008.83815352363;142.475585
128807.000482311;128.226343
128603.08836694845;120.212881
128404.94007622766;105.844277
128193.87413972651;119.660591
127997.00759933214;155.064706
127806.11381601034;192.780159
127578.5906022788;156.436424
127356.68849070868;145.304905
127164.49282508067;107.904389
126938.30125604382;167.86006
126741.15043760449;124.431341
126553.59229675736;163.51809
126338.05309970633;138.514489
126129.17931266743;105.527768
125910.58827209551;104.838165
125714.98767390907;110.689949
125510.28841445164;98.618288
125297.67806239298;114.347737
125105.05909359544;135.91886
124910.71186376948;141.615281
124703.42761522991;121.29153
124508.81208758941;110.752621
124287.17760413053;91.666762
124054.02608148832;110.645162
123846.75991669968;167.319858
123639.54815422987;120.364375
123432.98359134648;114.188206
123255.52930931805;89.472942
123037.54239717661;112.193686
122807.11892678075;123.422413
122615.15458842299;127.321775
122410.9754129687;108.446769
122197.45996956725;137.399709
121976.89622115798;132.040531
121798.9291217456;146.430405
121596.5278580276;111.145134
121388.98523520719;137.491907
121203.73583772012;121.616573
120988.75011483325;97.570868
120785.1888662331;140.114829
120585.18128374327;117.76572
120379.13758801065;116.975727
120174.04998057007;158.49659
119968.73244771197;158.925709
119755.8838303396;177.18633
119556.89785895273;211.086394
119383.09177591436;136.566387
119138.58188897684;87.32416
118943.97413298677;110.014244
118732.17164991815;113.801765
118524.36242343344;128.366617
118343.13154856843;133.360501
118138.88132686233;123.936957
117926.28955732481;109.388953
117719.52047013622;113.269702
117525.27236964833;122.694974
117315.12226841916;132.920515
117099.19506217827;150.258648
116884.66009591258;157.247079
116710.80073918033;160.726786
116504.34795194505;159.030792
116303.44332685784;146.674167
116071.94004085244;127.492103
115888.5502837764;120.457501
115683.11580717521;100.526821
115473.0263167136;106.632747
115276.79922144147;140.041124
115088.02579826077;126.354634
114862.22617018905;113.287621
114663.27779162985;138.756391
114469.88485102697;171.296952
114271.21547324483;154.938147
114065.13969166318;130.00194
113858.02310173289;170.822273
113661.78455700561;163.630639
113453.55207004555;152.599288
113244.58622162032;152.296396
113036.34279987634;180.202577
112843.59084281555;181.632983
112637.0097516533;123.466526
112433.01089397479;115.370254
112218.8021117101;188.577597
112029.36520658643;182.682526
111815.83096858356;132.344913
111618.6137823925;123.012207
111420.24052070545;117.294476
111218.52789945513;121.727636
111016.39645511977;136.277406
110796.78825409139;122.488695
110574.16699910577;104.714905
110352.50997803695;91.901935
110165.09460011328;105.927416
109959.23860102953;140.167497
109763.88711348787;211.678018
109572.4007806061;201.070268
109374.3813730129;148.690578
109162.16780022561;116.794644
108948.58040172588;99.914374
108707.76957045095;111.355618
108529.0121452573;133.860401
108345.97819774231;136.726328
108121.15452424964;154.195558
107914.11534693517;151.049209
107706.07942727912;103.768418
107486.1866178392;132.948259
107275.81681230551;138.227954
107081.87221021026;164.855804
106882.33146477985;179.693519
106679.20508371352;169.193713
106479.1554705296;158.332012
106279.04717551592;172.223664
106084.32206029398;125.541039
105875.61561184435;141.087301
105685.71821122596;148.178823
105478.40289641307;145.065586
105271.79754966401;149.666175
105070.77769109161;161.233856
104871.74311583405;147.978451
104669.46951342393;136.58147
104462.19117275372;128.054744
104259.71196066713;130.4847
104033.7609433546;126.597537
103856.14710262034;133.595536
103652.23491973683;126.936978
103442.51982389993;170.903722
103253.19710416923;180.570041
103048.62661919431;154.178761
102850.6404363865;152.281886
102641.50091449861;151.500575
102435.04961931054;154.255431
102231.98707024113;164.513511
102036.15705677826;181.617541
101831.41876475327;185.900015
101630.36349474615;134.967084
101427.19723244454;121.121255
101214.2440560049;145.150694
101023.35654253466;175.11907
100832.67060120395;209.609334
100600.40248422307;225.425037
100400.98616850462;229.931491
100210.17856160813;172.717246
99993.39943189504;123.083325
99782.24601760654;110.215288
99568.67293619807;113.84522
99364.38092664428;129.415224
99175.37515558959;131.739909
98967.99799808217;127.968309
98774.04944408263;121.2412
98554.1686423279;119.009334
98352.26011822333;132.23412
98150.22813654332;134.47784
97952.20269836477;141.267463
97738.48882119349;138.736657
97543.83677386196;134.766883
97325.66832304087;125.737529
97123.39298213049;132.640778
96914.73693434216;138.165215
96709.75700107781;122.446493
96505.84950097278;143.931634
96306.06850171748;122.386692
96067.99539185771;142.102578
95873.08135892142;145.512103
95673.60931296455;130.433706
95469.18247144553;129.775653
95260.37688885283;129.569787
95064.37890758106;137.027651
94865.6812825292;158.955083
94655.0549311599;178.630384
94460.01990929098;173.396247
94255.1569856772;141.662979
94048.86875223566;134.693838
93847.70533865973;136.396198
93648.5901052762;137.943794
93434.41305816386;136.613083
93235.73753984402;132.416788
93031.37108478557;158.223065
92831.77024458504;154.770314
92621.37041416287;151.168788
92418.66014006491;166.124606
92220.473897699;195.92231
92023.26960264653;211.64195
91825.76164860398;175.986465
91614.3107749459;149.540083
91409.89761848672;145.086993
91214.20699707582;152.690552
91025.66522605636;135.204942
90814.88765748727;126.266099
90612.60323025243;133.384499
90417.77912713533;148.833524
90208.91249283723;136.851841
89994.5946449988;147.880194
89806.32114483335;202.590081
89603.35216570667;182.314456
89395.77346254149;166.149956
89191.71919077772;149.902562
88983.99067177714;118.092269
88767.28062879015;98.788498
88551.7373431478;155.993983
88353.34598345862;167.393306
88155.01189434007;128.466492
87939.22946483304;129.596894
87738.85300688067;137.009542
87548.18970427905;142.546676
87343.17108264081;160.942787
87135.28291242216;157.630132
86943.43699816705;145.873479
86725.8243656867;128.190975
86497.23963484165;130.956529
86301.80981060657;138.855692
86102.82880803148;109.31608
85889.29066501395;90.467709
85689.03576424363;125.998851
85498.7244022766;123.462869
85295.8020006582;106.449919
85087.0058490808;154.174967
84902.72090590364;151.63957
84685.03116537064;138.496236
84491.11614183504;141.203619
84291.6944430626;114.220365
84082.7005267562;112.402482
83880.26709421571;115.757998
83677.9146910962;110.042309
83484.41608225956;116.187007
83280.46251366951;98.711187
83061.43938466065;94.255657
82853.26311457087;110.032526
82664.94269834478;129.604455
82457.43641119366;111.547775
82242.92079972781;112.515754
82041.37979996666;127.209694
81834.97769483324;166.594675
81645.93397705234;139.454349
81444.96084409457;108.135495
81229.54409445252;134.358148
81017.53104656699;150.331209
80815.59606827261;143.940299
80618.28388994402;140.805226
80417.55062606308;128.02919
80212.04507081388;116.793305
80010.84746331735;114.481882
79815.98599083316;120.570217
79609.16402653075;113.795785
79406.80267183331;113.492115
79208.89766833498;107.459019
78995.08616888711;124.53707
78806.40632573108;119.746002
78606.19306496644;80.992088
78400.95911683384;74.229528
78195.23986610692;83.049282
77997.34131314767;91.999364
77786.60569946448;107.738644
77589.43334885598;129.498737
77369.23582229242;155.406233
77188.69644939872;154.952455
76977.99627953143;123.332189
76766.57250351268;110.12866
76561.29938219379;129.153192
76369.32629072267;125.698842
76161.33179303205;120.469475
75956.30284732589;152.789414
75770.43882367661;102.349026
75555.42049351652;73.779993
75336.16823362827;73.732374
75148.096132914;84.57163
74951.35426813428;87.396835
74756.56906431382;103.518982
74549.38540694793;93.924006
74340.92255619832;71.790849
74142.72611065881;111.292435
73939.07001159499;142.731085
73743.6979272116;129.244069
73531.35270091376;132.644538
73336.60288039665;122.819044
73134.77292550975;142.583112
72898.81362412908;181.881888
72667.87771357587;156.145563
72422.4816088658;268.376962
72204.25999746987;243.507764
71980.26093361794;128.04638
71754.85081015146;130.313321
71569.25112913165;101.765764
71361.34782786152;110.226446
71155.60781042321;85.017432
70961.04371536488;113.161096
70744.11298946192;133.289637
70543.9490777264;118.408213
70343.4869675722;93.763426
70121.15731102187;94.853802
69921.38622743772;86.838899
69735.67668573727;77.899103
69511.48359740914;53.979637
69311.96258061164;28.261233
69068.66623018302;33.737522
68879.53456334135;56.412536
68692.68467250616;57.129073
68495.0164459829;113.564534
68310.18326322702;120.355779
68102.7889051948;92.819295
67893.13279711688;89.364548
67695.34065930899;88.272968
67501.7291684125;95.277509
67288.97074933471;84.216248
67091.85900193194;80.842314
66888.0372845981;98.489875
66689.13870859452;117.010261
66495.26331429924;120.955889
66297.45340623807;119.584368
66087.91989790623;123.152021
65890.26011947524;131.721676
65691.91502512747;141.522435
65494.857165697525;133.057901
65287.90614187393;114.906678
65093.01766236847;93.604111
64872.02651546993;90.715493
64635.53255166537;76.809733
64459.64808468369;99.967826
64244.56374103838;93.48605
64032.67129056157;90.334623
63833.780798645894;94.370173
63613.62438240458;102.243574
63427.80038927242;111.735345
63213.553338404;119.385336
63032.57097339869;97.893196
62800.15575751432;77.261672
62607.62819950386;133.960178
62413.56879220708;122.442046
62195.83177948692;105.846604
61997.91437139803;122.969983
61799.801549747004;150.189653
61584.9672058032;104.354237
61369.86417314477;116.075513
61193.114678129554;131.596663
60986.19117080445;114.16267
60774.39220705899;100.747152
60581.402592988816;129.500571
60375.93430202911;119.143472
60176.733967578315;128.504784
59982.478044196876;113.043658
59770.22986696848;94.060125
59563.56727550505;95.072833
59367.859940255425;96.350925
59161.782067956156;81.364185
58948.65020893303;80.472157
58726.458987214224;117.896139
58509.19677182444;141.933415
58281.037950703365;123.782855
58048.70076860678;122.644573
57848.65847915516;109.999265
57617.5553802479;81.108635
57369.29588894088;78.733293
57177.633627021205;110.085059
56963.13991289926;119.171432
56750.214897538186;95.562676
56542.3874697024;108.614747
56357.588341491995;99.704084
56135.43107074461;84.495691
55900.790597481886;106.505752
55663.53688663624;116.453494
55455.366457028504;94.976729
55232.093421419355;77.93554
55022.31603871433;86.578168
54842.57619915997;82.992469
54641.99310636922;88.391157
54431.778287946814;80.294618
54232.42579877567;86.367658
54020.237377897225;94.428379
53820.61950124451;83.661293
53630.615910955574;86.257157
53430.0522782632;98.457488
53220.35925663663;100.149096
53018.82927302607;92.246572
52823.684131686765;73.463623
52633.91484262128;77.482001
52431.78807177677;76.509168
52225.100620248064;90.682833
52018.3031893313;101.715355
51826.87175268617;94.811393
51617.27445521703;92.617823
51410.99666195204;88.270426
51212.31533078468;78.529994
51009.044099937615;72.72738
50806.250439000476;77.23396
50609.913270080026;81.665693
50407.45633895804;95.636016
50195.36248983166;105.988165
49993.97682220294;94.23449
49791.88631283319;85.227282
49582.75427056759;84.435887
49398.21700118507;88.687979
49210.081537141945;85.579759
48996.79402686487;85.181346
48793.76459019029;81.374635
48596.62330639857;78.398479
48398.294076843085;76.182442
48203.59927809972;87.932099
47975.722077523766;80.025519
47787.52737240073;82.667236
47581.63388506838;91.643826
47368.593671181705;103.898019
47168.60849711718;120.440889
46966.48099016545;82.817565
46755.14125512667;89.515021
46567.99030337061;101.272388
46335.21948177229;93.988305
46137.69460506481;98.417435
45938.94560160351;91.324944
45728.917609276235;90.664858
45499.50403881367;75.00636
45291.519372297116;89.243294
45090.30558403552;77.135147
44901.45980164778;82.564812
44705.12067225919;86.168126
44499.13331710677;89.034401
44287.42454626069;97.096166
44077.7740402989;85.146569
43883.906193973264;74.922684
43666.909762835785;82.152563
43465.0594088183;92.345724
43276.78450840882;99.963095
43068.939548099894;95.472625
42872.23248078828;91.394532
42672.845650704636;92.125867
42470.80361114035;92.113292
42264.97209071477;93.921783
42066.22348764462;97.955346
41868.5284580837;86.856497
41662.51907111899;86.296315
41457.19416272592;97.784196
41258.87666828417;90.161052
41052.37217265993;88.01164
40849.99188100292;87.037159
40657.362326180984;84.279304
40455.060624003105;79.705086
40245.76577224146;85.618409
40055.27876715563;89.776562
39857.08150363834;93.679318
39652.35721746685;91.232376
39456.54066950221;85.970005
39242.139211431844;86.120557
39042.1830324777;95.355144
38834.04699129111;76.880482
38616.93852808133;72.824194
38421.161253788;73.844205
38204.485376192504;82.610991
38012.18436703256;77.816539
37809.405648178115;81.120164
37581.52468757078;82.915591
37381.92331193584;92.959181
37180.21468989416;97.859323
36961.82476095135;97.72177
36753.28634468348;85.377306
36555.30349283772;83.915183
36355.26300265278;83.247786
36160.69139553397;83.221669
35944.21281799943;84.215785
35741.70783322475;87.763126
35544.88133535598;95.725005
35350.20850440988;101.322592
35148.620813340676;94.233186
34946.62851466125;75.377829
34738.38743404468;76.198378
34544.34821039879;91.415967
34348.98332128575;111.448066
34149.89051002056;109.527934
33929.2897909287;105.284128
33716.84597917902;118.669726
33520.87786864712;139.519356
33297.86475787067;128.068854
33095.507416394874;145.18008
32902.3058712737;121.104234
32695.818645607753;148.887106
32491.46325781806;165.588596
32295.822836929918;180.213124
32089.867067084662;159.735619
31896.047866513516;137.456976
31698.321367406214;122.945012
31460.975038605233;109.942425
31243.346127313256;100.643653
31038.34431056351;113.635389
30839.21731192172;134.597579
30630.973814140074;111.251305
30413.694178138016;96.575251
30213.583799405154;111.059407
30009.085541045744;98.543701
29802.39663664873;105.328021
29607.505127538563;90.117633
29398.381286389922;84.894902
29203.122281280826;91.956976
28990.168806167785;104.408753
28791.742784700065;92.553902
28581.48732505826;92.792892
28376.31164711078;94.719396
28176.730945258256;89.993158
27968.342730124074;126.746108
27748.21702326236;182.999822
27526.513170887512;158.387681
27314.646994091498;133.890985
27092.45045854272;97.379203
26900.8688902079;95.424443
26681.937477959887;99.538828
26496.661920335842;90.117941
26290.600841640233;79.213929
26085.15272893227;80.680636
25880.28229735745;83.511141
25706.447762804062;82.477205
25468.05070200478;93.621451
25276.935625233993;94.675818
25074.42014278144;87.828998
24861.59908564943;82.780438
24668.96855412751;73.584636
24483.241430090406;75.323271
24255.366344822338;78.074696
24063.52163974225;76.057258
23878.108117392258;71.345896
23676.672143566204;76.444988
23451.783077299784;77.821746
23240.92304717838;78.517285
23047.966861950394;85.193335
22859.175653248807;82.533671
22639.534935341944;87.568002
22444.20040877261;81.122518
22241.272248873967;88.206677
22043.347764058242;93.587008
21844.569200365542;97.585242
21624.212905552864;83.601556
21426.460587938767;69.519743
21218.093521434464;82.051717
21012.32989989342;94.63356
20814.011069075845;91.808938
20618.680521240545;87.662717
20415.286414760558;78.588709
20205.283507958462;82.642077
20006.120827170555;84.333166
19809.491344467504;82.355923
19604.83103851514;89.268567
19406.057620671956;89.538476
19190.598739785462;87.452458
18999.54696699434;87.283628
18811.84662325005;97.548259
18606.29472757592;98.920692
18383.06933419715;81.744319
18188.872784799372;96.014886
17980.236077853086;108.509287
17763.40594969719;139.249132
17563.043513292898;128.242888
17343.905572917094;107.276144
17154.606850549724;102.821443
16939.62463761607;95.314564
16731.133071875316;90.18707
16530.017233856095;79.895333
16319.392902607186;82.475752
16119.41146250056;81.810792
15926.239599342603;76.360385
15731.950762648048;68.729027
15535.958404423523;73.818917
15324.224708697642;77.624663
15108.73172020883;75.550292
14914.886654624104;77.647267
14707.401805955626;70.040268
14492.665527855715;67.579115
14285.267792290251;80.780005
14088.146505332668;76.71575
13892.771584346134;67.404595
13707.569145729853;71.668338
13460.599654045043;76.850015
13278.675744397537;76.901852
13077.148001378344;81.769708
12891.90106508712;80.567171
12683.677085692354;80.995531
12481.328849870479;85.592448
12282.506395705946;87.339512
12088.993602624425;82.711957
11879.083820304804;81.202502
11641.247128886433;83.792015
11432.847236008878;77.482968
11217.93273627109;72.642463
11003.426106592087;76.348787
10801.457022979914;74.067916
10597.778797533509;73.689448
10391.791831166978;72.69855
10206.22435566454;71.700481
9984.477901725302;75.188304
9804.249379253131;75.799423
9596.714186136378;74.155985
9386.573641108902;72.16725
9167.440879178379;79.966784
8968.148496490088;81.267098
8765.49963489655;81.457765
8562.087883771834;76.948776
8352.410724673973;75.717005
8156.691567338508;76.786089
7951.535267448635;75.868263
7734.119117685012;82.184111
7540.571397882653;77.989189
7354.094011168607;73.245219
7128.875941627775;80.869618
6937.6982967912045;70.851817
6730.4852923711005;70.473008
6536.343984312611;76.813709
6332.324189999024;86.22021
6124.835421806318;91.218564
5923.377291973826;93.429318
5719.522824801097;90.084177
5523.93366876748;84.272843
5310.392458945949;73.290064
5102.932211107021;82.476038
4877.216668375186;79.027467
4677.995495623909;75.209333
4452.477980623458;88.90355
4229.5003879881115;122.730617
4039.417836192879;101.700535
3819.551220127294;73.288899
3608.340981376474;82.878589
3395.968855072453;85.660828
3201.9647688774567;84.736823
2996.152133046504;83.785789
2793.008280011185;79.236874
2599.747312845255;74.93348
2383.1588130314776;74.010375
2179.344286066189;81.715726
1982.2363768260693;73.23282
1764.4092035747599;75.511575
1560.1899810629257;84.049801
1354.8338251046662;82.592396
1161.9655025838874;82.07493
967.5194080103829;82.939687
731.7588148814684;85.62666
526.7843091138348;83.262633
325.03923879825743;74.703616
100.0;79.336325
0.0;81.39494776496284
